V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000330424	赤い線を2本引いて下さい。	線	赤[あか]い 線[せん]を 2本引[に ほん ひ]いて 下[くだ]さい。	
V0000330425	そこを左に曲がってください。	曲がる	そこを 左[ひだり]に 曲[ま]がってください。	
V0000330426	彼の日本語のレベルは私と同じ位だ。	同じ	彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じ 位[くらい]だ。	
V0000330427	答えが違います。	違う	答[こた]えが 違[ちが]います。	
V0000330428	図書館で料理の本を借りた。	図書館	図書館[としょかん]で 料理[りょうり]の 本[ほん]を 借[か]りた。	
V0000330429	今日はこのホテルに泊まります。	泊まる	今日[きょう]はこのホテルに 泊[と]まります。	
V0000330430	子供たちが公園で遊んでいる。	遊ぶ	子供[こども]たちが 公園[こうえん]で 遊[あそ]んでいる。	
V0000330431	どうして泣いているの。	どうして	どうして 泣[な]いているの。	
V0000330432	昨日、新しい服を買った。	服	昨日[きのう]、 新[あたら]しい 服[ふく]を 買[か]った。	
V0000330433	お父さんは会社員です。	お父さん	お 父[とう]さんは 会社員[かいしゃいん]です。	
V0000330434	私は父が大好きです。	父	私[わたし]は 父[ちち]が 大好[だいす]きです。	
V0000330435	お母さんによろしくお伝えください。	お母さん	お 母[かあ]さんによろしくお 伝[つた]えください。	
V0000330436	昨日、母と話をしました。	母	昨日[きのう]、 母[はは]と 話[はなし]をしました。	
V0000330437	親の愛は有り難い。	親	親[おや]の 愛[あい]は 有[あ]り 難[がた]い。	
V0000330438	姉は大学生です。	姉	姉[あね]は 大学生[だいがくせい]です。	
V0000330439	昨日、あなたのお姉さんに会ったよ。	お姉さん	昨日[きのう]、あなたのお 姉[ねえ]さんに 会[あ]ったよ。	
V0000330440	私の妹は小学生です。	妹	私[わたし]の 妹[いもうと]は 小学生[しょうがくせい]です。	
V0000330441	おなかが空きました。	おなか	おなかが 空[す]きました。	
V0000330442	兄は水泳が得意です。	兄	兄[あに]は 水泳[すいえい]が 得意[とくい]です。	
V0000330443	あなたのお兄さんは何歳?	お兄さん	あなたのお 兄[にい]さんは 何歳?[なんさい]	
V0000330444	弟は野球が好きです。	弟	弟[おとうと]は 野球[やきゅう]が 好[す]きです。	
V0000330445	私の娘はアメリカにいます。	娘	私[わたし]の 娘[むすめ]はアメリカにいます。	
V0000330446	うちの息子は大学1年生です。	息子	うちの 息子[むすこ]は 大学1年生[だいがく いちねんせい]です。	
V0000330447	彼はまだ若いです。	若い	彼[かれ]はまだ 若[わか]いです。	
P0000146964	彼女は
P0000146964	です。	彼女	彼女[かのじょ]は 
P0000146964	[おーえる]です。	
V0000330448	彼は私の上司です。	彼	彼[かれ]は 私[わたし]の 上司[じょうし]です。	
V0000330449	彼女は来月結婚します。	結婚	彼女[かのじょ]は 来月[らいげつ] 結婚[けっこん]します。	
P0000146965	朝9時からミーティングが始まった。	ミーティング	朝9時[あさ 
P0000146965	じ]からミーティングが 始[はじ]まった。	
V0000330450	毎日、駅まで自転車で行きます。	自転車	毎日[まいにち]、 駅[えき]まで 自転車[じてんしゃ]で 行[い]きます。	
V0000330451	宿題は自分でやりなさい。	自分	宿題[しゅくだい]は 自分[じぶん]でやりなさい。	
V0000330452	ご主人はお元気ですか。	ご主人	ご 主人[しゅじん]はお 元気[げんき]ですか。	
V0000330453	私の質問に答えてください。	答える	私[わたし]の 質問[しつもん]に 答[こた]えてください。	
V0000330454	別の本も見せてください。	別	別[べつ]の 本[ほん]も 見[み]せてください。	
V0000330455	祖父が病気になった。	病気	祖父[そふ]が 病気[びょうき]になった。	
V0000330456	犬が病気で死にました。	死ぬ	犬[いぬ]が 病気[びょうき]で 死[し]にました。	
V0000330457	今日は頭が痛いです。	痛い	今日[きょう]は 頭[あたま]が 痛[いた]いです。	
V0000330458	彼女は酒に強い。	酒	彼女[かのじょ]は 酒[さけ]に 強[つよ]い。	
V0000330459	電気をつけてください。	つける	電気[でんき]をつけてください。	
V0000330460	プールは人で一杯です。	一杯	プールは 人[ひと]で 一杯[いっぱい]です。	
V0000330461	鳥が飛んでいます。	飛ぶ	鳥[とり]が 飛[と]んでいます。	
V0000330462	息子は飛行機のおもちゃが好きです。	飛行機	息子[むすこ]は 飛行機[ひこうき]のおもちゃが 好[す]きです。	
V0000330463	お願いがあります。	お願い	お 願[ねが]いがあります。	
V0000330464	工事は3月まで続きます。	続く	工事[こうじ]は 3月[さんがつ]まで 続[つづ]きます。	
V0000330465	私は毎日、日記を付けています。	日記	私[わたし]は 毎日[まいにち]、 日記[にっき]を 付[つ]けています。	
V0000330466	きりんの首は長い。	首	きりんの 首[くび]は 長[なが]い。	
V0000330467	今朝から頭が痛い。	頭	今朝[けさ]から 頭[あたま]が 痛[いた]い。	
V0000330468	彼はタオルで顔を拭きました。	顔	彼[かれ]はタオルで 顔[かお]を 拭[ふ]きました。	
V0000330469	あれは何ですか。	あれ	あれは 何[なん]ですか。	
V0000330470	膝に痛みを感じます。	感じる	膝[ひざ]に 痛[いた]みを 感[かん]じます。	
V0000330471	彼は郵便局を探していました。	探す	彼[かれ]は 郵便局[ゆうびんきょく]を 探[さが]していました。	
V0000330472	猿も木から落ちる。	落ちる	猿[さる]も 木[き]から 落[お]ちる。	
V0000330473	お手洗いはどこですか。	お手洗い	お 手洗[てあら]いはどこですか。	
V0000330474	冷たい飲み物をください。	冷たい	冷[つめ]たい 飲[の]み 物[もの]をください。	
V0000330475	彼の部屋はとても汚い。	汚い	彼[かれ]の 部屋[へや]はとても 汚[きたな]い。	
V0000330476	彼女は足が太い。	太い	彼女[かのじょ]は 足[あし]が 太[ふと]い。	
V0000330477	明日は昼頃から曇るでしょう。	曇る	明日[あす]は 昼頃[ひるごろ]から 曇[くも]るでしょう。	
V0000330478	彼は神を信じている。	神	彼[かれ]は 神[かみ]を 信[しん]じている。	
V0000330479	ここの料理はまずい。	まずい	ここの 料理[りょうり]はまずい。	
V0000330480	私たちは来年、家を建てます。	建てる	私[わたし]たちは 来年[らいねん]、 家[いえ]を 建[た]てます。	
V0000330481	彼はかばんをいすの上に置きました。	置く	彼[かれ]はかばんをいすの 上[うえ]に 置[お]きました。	
V0000330482	彼はこの辺に住んでいます。	辺	彼[かれ]はこの 辺[へん]に 住[す]んでいます。	
V0000330483	彼女に黄色いバラを買いました。	黄色い	彼女[かのじょ]に 黄色[きいろ]いバラを 買[か]いました。	
V0000330484	一緒に帰りましょう。	一緒に	一緒[いっしょ]に 帰[かえ]りましょう。	
V0000330485	この町には緑がたくさんあります。	緑	この 町[まち]には 緑[みどり]がたくさんあります。	
V0000330486	この問題はかなり易しいです。	易しい	この 問題[もんだい]はかなり 易[やさ]しいです。	
V0000330487	彼は留学生です。	留学生	彼[かれ]は 留学生[りゅうがくせい]です。	
V0000330488	今、会社に戻ります。	戻る	今[いま]、 会社[かいしゃ]に 戻[もど]ります。	
V0000330489	そばにいて下さい。	そば	そばにいて 下[くだ]さい。	
V0000330490	私は毎朝6時に起きます。	起きる	私[わたし]は 毎朝6時[まいあさ ろくじ]に 起[お]きます。	
V0000330491	町で大事件が起こりました。	起こる	町[まち]で 大事件[だいじけん]が 起[お]こりました。	
V0000330492	明日、6時に起こしてください。	起こす	明日[あす]、 6時[ろくじ]に 起[お]こしてください。	
V0000330493	近所で盗難事件が起きました。	起きる	近所[きんじょ]で 盗難事件[とうなん じけん]が 起[お]きました。	
V0000330494	もう寝よう。	寝る	もう 寝[ね]よう。	
V0000330495	彼女は指が細いですね。	細い	彼女[かのじょ]は 指[ゆび]が 細[ほそ]いですね。	
V0000330496	皿にケーキを載せました。	載せる	皿[さら]にケーキを 載[の]せました。	
V0000330497	彼はシートベルトを締めた。	締める	彼[かれ]はシートベルトを 締[し]めた。	
V0000330498	このイチゴは甘い。	甘い	このイチゴは 甘[あま]い。	
V0000330499	こっちに来て下さい。	こっち	こっちに 来[き]て 下[くだ]さい。	
V0000330500	彼は辛いものが好きです。	辛い	彼[かれ]は 辛[から]いものが 好[す]きです。	
V0000330501	彼はとても優しい人です。	優しい	彼[かれ]はとても 優[やさ]しい 人[ひと]です。	
V0000330502	私の夫はサラリーマンです。	夫	私[わたし]の 夫[おっと]はサラリーマンです。	
V0000330503	今日は妻の誕生日だ。	妻	今日[きょう]は 妻[つま]の 誕生日[たんじょうび]だ。	
V0000330504	誰と会ってみたいですか。	誰	誰[だれ]と 会[あ]ってみたいですか。	
V0000330505	私は家族を愛しています。	愛する	私[わたし]は 家族[かぞく]を 愛[あい]しています。	
V0000330506	赤ん坊が笑っています。	笑う	赤[あか]ん 坊[ぼう]が 笑[わら]っています。	
V0000330507	このぶどうは酸っぱいです。	酸っぱい	このぶどうは 酸[す]っぱいです。	
V0000330508	この言葉の意味が分かりません。	言葉	この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。	
V0000330509	彼女は眠いようです。	よう	彼女[かのじょ]は 眠[ねむ]いようです。	
